通し番号,問題文,選択肢1,選択肢2,選択肢3,選択肢4,正解,解説,教科書参照箇所
27,条件が成り立つか成り立たないかによって、実行する処理を切り替える制御構造を何というか。,順次構造,反復構造,選択（分岐）構造,再帰構造,3,「もし〜ならば」という条件によって処理のルートを分けることを「選択構造（分岐構造）」といいます。「順次構造」は上から順に実行し、「反復構造」は繰り返す構造、「再帰構造」は関数が自分自身を呼び出す仕組みです。,37 プログラミングの基本
28,変数aが10、変数bが3のとき、「a % b」の演算結果はいくつになるか。,2,3,1,10,3,「%」は割り算の余りを求める算術演算子です。10を3で割った商は3、余りは1となるため、演算結果は1です。,37 プログラミングの基本
29,「i を 1 から 5 まで 1 ずつ増やしながら繰り返す」という処理を行ったとき、ループ内の処理は何回実行されるか。,4回,5回,6回,実行されない,2,変数iが 1、2、3、4、5 と変化しながら処理が実行されるため、合計5回実行されます。,37 プログラミングの基本
30,配列 Data ＝ ［10、 20、 30、 40］ において、Data［2］ の値はどれか（添字は0から始まるものとする）。,10,20,30,40,3,配列の添字（インデックス）は通常0から始まります。Data［0］が10、Data［1］が20、Data［2］が30となるため、30が正解です。,38 配列
31,二次元配列 Zahyou［x、 y］ において、最初の添字「x」が一般的に表すものはどれか。,行（縦の並び）,列（横の並び）,要素の総数,データの型,1,二次元配列を表としてイメージした場合、一つ目の添字（x）は「行（縦の並び）」、二つ目の添字（y）は「列（横の並び）」を表すのが一般的です。,38 配列
32,プログラミングにおいて、関数を呼び出す際に処理に必要な情報として関数に渡す値のことを何というか。,戻り値,引数,変数,定数,2,関数に処理を依頼する際に渡すデータを「引数（ひきすう）」といいます。「戻り値」は関数から返ってくる結果、「変数」はデータを記憶する箱、「定数」は変化しない値です。,39 関数
33,関数内での処理が終わった後、呼び出し元に返される値のことを何というか。,引数,戻り値,ローカル変数,グローバル変数,2,関数の実行結果として呼び出し元に返却されるデータを「戻り値（返り値）」といいます。「ローカル変数」は関数の中だけで使える変数、「グローバル変数」はプログラム全体で使える変数です。,39 関数
34,プログラム全体で有効であり、どこからでもアクセスできる変数を何というか。,ローカル変数,グローバル変数,配列,引数,2,プログラムのどの場所からでも参照・変更できる変数を「グローバル変数」といいます。逆に関数の中だけで有効な変数を「ローカル変数」といいます。,39 関数
35,データの端から順番に目的の値を探していく、最も単純な探索アルゴリズムはどれか。,二分探索,線形探索,バブルソート,選択ソート,2,配列の先頭から一つずつ目的の値と比較していく方法を「線形探索」といいます。「二分探索」は中央値と比較して範囲を半分に絞る探索方法、「バブルソート」「選択ソート」はデータを並べ替える整列アルゴリズムです。,40 探索のプログラム
36,二分探索を行うための前提条件として正しいものはどれか。,データがすべて正の数であること,データが重複していないこと,データが昇順または降順に整列されていること,データ数が偶数であること,3,二分探索は、大小関係を利用して探索範囲を半分に絞り込むため、あらかじめデータが昇順または降順に整列（ソート）されている必要があります。,40 探索のプログラム
37,100個の整列されたデータから二分探索で目的の値を探すとき、最大探索回数はおよそ何回になるか。,7回,50回,100回,1回,1,二分探索は1回の比較で範囲が半分になるため、2の7乗（128）以内の最大7回で探し出すことができます。,40 探索のプログラム
38,データ数が n のとき、線形探索の最大探索回数はどれか。,1回,n/2回,n回,log2(n)回,3,線形探索は最悪の場合、データの最後まで探す必要があるため、最大探索回数はデータ数と同じ n 回 になります。二分探索の最大探索回数がおよそ log2(n) 回となります。,40 探索のプログラム
39,隣り合うデータの大小を比較し、必要に応じて入れ替えを繰り返すことで整列を行うアルゴリズムはどれか。,選択ソート,挿入ソート,バブルソート,クイックソート,3,隣接する要素を比較・交換して、泡が浮かぶように大小を揃えていく方法を「バブルソート」といいます。「選択ソート」は最小値を探して交換し、「挿入ソート」は整列済みの適切な位置に挿入し、「クイックソート」は基準値で分割する整列法です。,41 整列のプログラム
40,未整列の要素から最小値を探し、整列済みの末尾の次の要素と入れ替える方法を何というか。,選択ソート,バブルソート,挿入ソート,線形探索,1,未整列部分から最小（最大）の値を選択して、決まった位置の要素と交換する方法を「選択ソート」といいます。「バブルソート」や「挿入ソート」は別の整列アルゴリズム、「線形探索」は探索アルゴリズムです。,41 整列のプログラム
41,二つの変数aとbの値を入れ替える際、作業用変数tempを用いた正しい手順はどれか。,a=b; b=a,temp=a; a=b; b=temp,temp=a; b=a; a=temp,a=temp; temp=b; b=a,2,変数の値を入れ替えるには元の値を一時的に退避させる必要があります。まずaをtempに退避し、bをaに上書き代入し、退避したtempをbに代入するのが正しい手順です。,37 プログラミングの基本
42,乱数を用いて、不確定な要素を含む現象を確率的な考え方でシミュレーションする手法を何というか。,モンテカルロ法,最小二乗法,二分探索法,移動平均法,1,乱数を用いて面積や円周率の近似値を求めたりする確率的シミュレーション手法を「モンテカルロ法」といいます。「最小二乗法」は回帰直線を求める手法、「移動平均法」は時系列データの傾向を把握する手法です。,29 モデル化とシミュレーション
43,サイコロを振るシミュレーションにおいて、整数の乱数を発生させる関数を利用する目的は何か。,サイコロの目の合計を正確に計算するため,サイコロを投げる不確定な動作を再現するため,変数を初期化してエラーを防ぐため,データを昇順に整列するため,2,サイコロのどの目が出るかという確率的な（不確定な）現象を、コンピュータ上で乱数を使ってモデル化し再現するためです。,29 モデル化とシミュレーション
44,モンテカルロ法で円周率を求める際、シミュレーションの試行回数（乱数の数）を増やすと結果はどうなるか。,結果のばらつきが大きくなる,真の値に近づき、ばらつきが小さくなる,必ず3.14に完全に一致する,結果は全く変わらない,2,大数の法則により、試行回数を増やすほどシミュレーション結果のばらつきは小さくなり、確率的な理論値（真の値）に近づいていきます。,29 モデル化とシミュレーション
45,フローチャートにおいて、ひし形の記号が表す処理はどれか。,開始・終了,処理（演算など）,条件による分岐,データの入力,3,フローチャートにおいて、ひし形は「もし〜ならば」という判断や条件による分岐を表します。「開始・終了」は端子（角丸長方形）、「処理」は長方形で表されます。,43 プログラムの設計手法
46,行政や企業などがインターネットを通じて一般に公開し、誰でも自由に入手・利用・再配布できるデータのことを何というか。,オープンデータ,ビッグデータ,個人情報,機密データ,1,営利・非営利を問わず二次利用が可能で、機械判読に適したルールで公開されたデータを「オープンデータ」といいます。「ビッグデータ」は多種多様で膨大なデータ群のことです。,オープンデータの活用
47,表計算ソフトウェアなどで広く使われ、データをカンマ（、）で区切って保存するテキストファイルの形式はどれか。,PDF,CSV,XML,HTML,2,CSV（Comma Separated Values）は、データをカンマで区切ったテキスト形式で互換性が高いのが特徴です。「PDF」はレイアウトを保持する文書形式、「XML」はタグを用いたデータ形式、「HTML」はWebページを記述する言語です。,オープンデータの活用
48,条件「A and B（A かつ B）」が「真」となるのはどのような場合か。,AとBのどちらか一方が真のとき,AとBの両方が真のとき,AとBの両方が偽のとき,Aが偽のとき,2,論理積（and）は、指定されたすべての条件が成り立っている（両方が真である）ときのみ全体が「真」となります。どちらか一方だけでよい場合は論理和（or）を用います。,37 プログラミングの基本
49,7個の整列されたデータ ［8、 15、 24、 56、 64、 77、 85］ から二分探索を行うとき、最初に比較される中央の要素の値はどれか。,8,24,56,64,3,配列の要素が7個（添字0〜6）の場合、その中央は添字が3の要素になります。したがって、最初の中央値は「56」になります。,40 探索のプログラム
50,ある変数の値に1を加算して、同じ変数に上書き保存する処理（カウントアップ）の記述として正しいものはどれか。,a = 1,a = a + 1,a == 1,a + 1 = a,2,プログラミングにおける「=」は代入を意味します。右辺の「a + 1」で現在の値に1を足し、その結果を左辺の「a」に上書き代入する「a = a + 1」が正しい記述です。,37 プログラミングの基本
51,個人を特定するために使われる「基本四情報」の組み合わせとして最も適当なものはどれか。,氏名、住所、生年月日、性別,氏名、電話番号、メールアドレス、パスワード,氏名、住所、電話番号、マイナンバー,氏名、生年月日、血液型、性別,1,「基本四情報」は氏名、住所、生年月日、性別の4つです。これにマイナンバーなどを加えたものは基本四情報とは呼びません。,04 個人情報とその扱い
52,著作権法において、著作権（財産権）の保護期間の原則として最も適当なものはどれか。,創作した時から著作者の生存期間,創作した時から50年,創作した時から著作者の死後50年,創作した時から著作者の死後70年,4,著作権は原則として「著作者の死後70年」まで保護されます。映画の著作物などは「公表後70年」です。,06 著作権
53,情報の特徴に関する説明のうち、適当なものを選びなさい。,情報は他人に与えると自分の手元からはなくなる。,情報は容易に複製することができ、劣化しない。,情報は伝わるのに時間がかかり、特定の人にしか伝わらない。,ネットワークに流出した情報は簡単に完全に消去できる。,2,情報は容易に複製でき劣化しない「複製性」を持ちます。他人に与えても自分の手元からなくならない「残存性」、短時間で広く伝わる「伝播性」も特徴です。,01 情報と情報社会
54,POSシステムにおいて、商品に付けられたバーコードを読み取ることで得られる情報として最も適当なものはどれか。,客の年齢層,客の性別,商品名や価格,天候,3,バーコードには「商品名や価格」などが登録されています。「客の年齢層」や「客の性別」は店員がレジのボタンで入力することが多く、「天候」などは別のシステムと連携して記録されます。,22 情報システム
55,デジタル署名に関する説明として最も適当なものを選びなさい。,送信されたデータが本人のものであることを証明する技術。,暗号が解読されたとき、第三者による改ざんを修正する技術。,平文から作成した要約文を受信者の公開鍵で暗号化する技術。,データを送信する際に自動的に暗号化し、盗聴を防ぐ技術。,1,デジタル署名は送信者の「秘密鍵」で暗号化し、送信者が本人であることを証明し改ざんを検知する技術です。「受信者の公開鍵」で暗号化するのは機密性を守る公開鍵暗号方式の通信です。,26 安全のための情報技術
56,データを送受信する際に、データの誤りを検出するために各ビットの変化を確認するための情報を付加する方式を何というか。,暗号化,誤り検出符号,共通鍵方式,デジタル署名,2,誤りを検出するために付加する情報を「誤り検出符号（パリティビットなど）」といいます。「暗号化」はデータを解読不能にすること、「共通鍵方式」は同じ鍵で暗号化・復号する方式、「デジタル署名」は本人確認や改ざん検知の技術です。,26 安全のための情報技術
57,行政や企業などがインターネットを通じて一般に公開し、誰もが自由に入手して二次利用できるようにしたデータを何というか。,ビッグデータ,オープンデータ,個人情報,メタデータ,2,機械判読に適した形式で二次利用可能なルールで公開されたデータを「オープンデータ」といいます。「ビッグデータ」は多種多様で膨大なデータ、「メタデータ」はデータそのものではなくデータに関する付帯情報（作成日時など）のことです。,25 データの収集と整理
58,質的データに分類される尺度のうち、「血液型」や「性別」などが該当する尺度はどれか。,名義尺度,順序尺度,間隔尺度,比例尺度,1,区別や分類を目的とした尺度が「名義尺度」です。大小関係に意味があるが間隔は等しくないのが「順序尺度」、間隔に意味があるのが「間隔尺度」、絶対的なゼロを持ち比率に意味があるのが「比例尺度」です。,29 統計量とデータの尺度
59,あるデータ群において、最も出現頻度の高い（最も多く現れる）値のことを何というか。,平均値,中央値,最頻値,分散,3,度数が最も多い値を「最頻値（モード）」といいます。データの合計を個数で割ったものが「平均値」、データを大きさ順に並べた中央の値が「中央値」、データの散らばり具合を表すのが「分散」です。,29 統計量とデータの尺度
60,２つの変数の関係を表す散布図において、右肩上がりの傾向（一方が増えれば他方も増える）が見られる場合、どのような関係があるといえるか。,正の相関,負の相関,相関なし,因果関係,1,一方が増えると他方も増える傾向を「正の相関」といいます。一方が増えると他方が減る傾向は「負の相関」、傾向が見られない場合は「相関なし」です。「因果関係」は一方が原因でもう一方が結果となる関係を指します。,31 時系列分析と回帰分析
61,実測値のデータに最も近いモデル関数を求める方法として、近似曲線とデータとの残差の二乗の合計が最小になるように直線を求める方法を何というか。,移動平均法,最小二乗法,モンテカルロ法,二分探索法,2,残差の二乗和を最小化して近似直線を求める手法を「最小二乗法」といいます。「移動平均法」は時系列データの細かい変動を取り除く手法、「モンテカルロ法」は乱数を用いた確率的シミュレーション手法、「二分探索法」はデータを半分に絞り込む探索手法です。,31 時系列分析と回帰分析
62,クロス集計の結果から、項目間の偏りが有意な差であるかを検定する方法として最も適当なものはどれか。,カイ二乗検定,t検定,最小二乗法,移動平均法,1,期待度数と実測度数のズレから独立性を判定し有意な差か検定する手法を「カイ二乗検定」といいます。「t検定」は平均値の差を検定する手法、「最小二乗法」は回帰直線を求める手法、「移動平均法」は時系列の傾向をみる手法です。,32 区間推定とクロス集計
63,誰にでも公平に使えることを目指す「ユニバーサルデザイン」の例として不適当なものはどれか。,段差のない歩道,階段のみで構成された入り口,言葉の壁を越えて直感的に意味が伝わるピクトグラム,車いすでも利用しやすい自動ドア,2,ユニバーサルデザインは年齢や障害の有無にかかわらず誰にでも公平に使えることを目指すため、特定の人しか利用しづらい「階段のみで構成された入り口」は不適当です。,07 情報デザイン
64,言葉の壁を越えて誰にでも直感的に意味が伝わるようにデザインされた視覚記号を何というか。,ロゴマーク,アイコン,ピクトグラム,インフォグラフィック,3,非常口のマークなど、情報を抽象化し明瞭な色で表した図記号を「ピクトグラム」といいます。「ロゴマーク」は企業などのシンボル、「アイコン」はコンピュータの操作用絵文字、「インフォグラフィック」はデータを視覚的に整理したものです。,07 情報デザイン
65,アナログデータの特徴として最も適当なものはどれか。,ノイズに強い,加工しやすい,連続的な量で表現されている,0と1の組み合わせで表現される,3,アナログデータは温度や時間のように切れ目のない「連続的な量」で表現されます。「0と1の組み合わせ（離散的）」で表現され、ノイズに強く加工しやすいのはデジタルデータの特徴です。,12 数値と文字の表現
66,10進数の「15」を4ビットの2進数で表すとどうなるか。,1010,1100,1110,1111,4,10進数の15は、2進数の各桁の重み（8＋4＋2＋1）をすべて足し合わせたものになるため、2進数では「1111」となります。,12 数値と文字の表現
67,論理回路において、入力Aが0、Bが1のとき、OR回路の出力はどうなるか。,0,1,AとBが逆転する,エラーになる,2,OR回路（論理和）は、入力のどちらか一方でも「1」であれば、出力が「1」になります。両方が1のときのみ1を出力するのはAND回路（論理積）です。,13 演算の仕組み
68,10進数の「-2」を、4ビットの2進数の補数（2の補数）で表現したものはどれか。,10,1010,1101,1110,4,10進数の2は2進数で「0010」です。この0と1を反転させて「1101」とし、それに1を足した「1110」が負の数を表す2の補数表現になります。,13 演算の仕組み
69,音のデジタル化において、1秒間に行う標本化の回数を表す言葉はどれか。,標本化ビット数,標本化周波数,量子化ビット数,ビットレート,2,1秒間に波形を分割する回数を「標本化周波数（単位はHz）」といいます。「量子化ビット数（標本化ビット数）」は音の強弱を何段階で表現するかを示す値、「ビットレート」は1秒間あたりのデータ量（bps）です。,14 音の表現
70,画像を拡大した際に輪郭が階段状にギザギザになる現象を何というか。,ジャギー,ポリゴン,モアレ,ハレーション,1,画素が四角く引き伸ばされて生じるギザギザを「ジャギー」といいます。「ポリゴン」は3DCGの多角形、「モアレ」は規則的な模様が重なって生じる縞模様、「ハレーション」は強い光の周囲が白くぼやける現象です。,15 画像の表現
71,色の三原色（シアン、マゼンタ、イエロー）のインクを混ぜて色を作る方法を何というか。,加法混色,減法混色,階調表現,補色表現,2,プリンタなどで色を混ぜるほど明るさが減って黒に近づいていく混色方法を「減法混色」といいます。ディスプレイの光（RGB）を混ぜて白に近づく方法は「加法混色」です。,15 画像の表現
72,画像データの圧縮形式のうち、写真を扱うのによく用いられる非可逆圧縮の形式はどれか。,ZIP,PNG,JPEG,BMP,3,人間の目の特性を利用してデータの一部を削り圧縮する非可逆圧縮の画像形式は「JPEG」です。「ZIP」はファイルの可逆圧縮形式、「PNG」や「BMP」は画像の可逆圧縮または無圧縮形式です。,18 データの圧縮と効率化
73,LAN内のコンピュータなどにIPアドレスを自動的に割り当てるためのプロトコルはどれか。,HTTP,DNS,DHCP,SMTP,3,ネットワーク接続時にIPアドレスを自動で割り当てるのは「DHCP」です。「HTTP」はWebページ転送、「DNS」はドメイン名とIPアドレスの変換、「SMTP」はメール送信プロトコルです。,20 インターネットの仕組み
74,ドメイン名「www.example.co.jp」において、日本の企業を表す「co」の部分を何というか。,国名,組織名,組織区分,コンピュータ名,3,「co」は企業、「ac」は大学などの「組織区分」を表します。「jp」は国名、「example」は組織名、「www」はホスト名（コンピュータ名）を表します。,20 インターネットの仕組み
75,IPv6アドレスは何ビットのデータで表現されるか。,32ビット,64ビット,128ビット,256ビット,3,従来のIPv4アドレスは32ビットでしたが、アドレス枯渇に対応するため導入されたIPv6は128ビットで表現されます。,20 インターネットの仕組み
76,問題を解決するための具体的な手順や計算方法のことを何というか。,プログラム,アルゴリズム,フローチャート,モデル化,2,問題を解決するための明確な処理手順を「アルゴリズム」といいます。「プログラム」はそれをコンピュータに実行させるための記述、「フローチャート」は手順の図解、「モデル化」は問題の単純化です。,36 アルゴリズムとプログラミング
77,アルゴリズムを、決められた図記号を用いて視覚的に表現したものを何というか。,クラス図,フローチャート,状態遷移図,散布図,2,開始・処理・条件分岐などの記号と矢印で手順を図解したものを「フローチャート」といいます。「クラス図」や「状態遷移図」はオブジェクト指向やシステムの状態変化を表す図、「散布図」は2つのデータの関係を表すグラフです。,36 アルゴリズムとプログラミング
78,Pythonにおいて、変数に値を代入する際に使用する記号はどれか。,==,=,<-,:,2,プログラミングにおける「=」は「等しい」ではなく、右辺の値を左辺の変数に記憶させる「代入」を意味します。等しいことを比較する際は「==」を使用します。,37 プログラミングの基本
79,処理を条件（もし〜ならば）によって分ける制御構造を何というか。,順次構造,反復構造,選択（分岐）構造,再帰構造,3,条件の成否によって処理のルートを切り替える構造を「選択（分岐）構造」といいます。「順次構造」は順番に実行、「反復構造」は繰り返す構造、「再帰構造」は関数が自分自身を呼び出す仕組みです。,37 プログラミングの基本
80,Pythonのif文において、「aとbが等しい」という条件を表す正しい記述はどれか。,a = b,a == b,a != b,a >= b,2,等しいことを判定する比較演算子は「==」を使用します。「=」は代入、「!=」は等しくない、「>=」は左辺が右辺以上であることを表します。,37 プログラミングの基本
81,複数の条件のどちらか一方が成り立てば全体として真となる論理演算子はどれか。,and,or,not,xor,2,「or（論理和）」は少なくとも一つの条件が真であれば全体が真となります。「and（論理積）」は全てが真のときのみ真、「not（論理否定）」は真偽を反転、「xor（排他的論理和）」は一方が真で一方が偽のときのみ真となります。,37 プログラミングの基本
82,指定した範囲の整数の乱数を発生させるために、Pythonで標準的に用いられるモジュールはどれか。,math,random,datetime,tkinter,2,乱数を発生させる関数などを使うには「random」モジュールを用います。「math」は数学関数、「datetime」は日付と時刻、「tkinter」はGUI作成用のモジュールです。,37 プログラミングの基本
83,配列（リスト）の中に格納されている一つひとつのデータのことを何というか。,添字（インデックス）,要素,引数,戻り値,2,配列の中に格納された個々のデータを「要素」といいます。「添字（インデックス）」は要素の場所を示す番号、「引数」は関数に渡す値、「戻り値」は関数から返される値です。,38 配列
