34,関数内部の処理結果を呼び出し元に返す値を何というか。,引数,戻り値,ローカル変数,グローバル変数,2,関数内での計算や処理が終わった後、呼び出し元に返される値を「戻り値（返り値）」といいます。「引数」は関数に渡す値、「ローカル変数」は関数内だけで有効な変数、「グローバル変数」はプログラム全体で有効な変数です。,39 関数
35,プログラミングにおける「変数」の役割として最も適当なものを選びなさい。,プログラムの実行を強制的に終了させる機能,処理の手順を図解してわかりやすくする機能,数値や文字列などのデータを一時的に記憶しておく箱のような役割,コンピュータをネットワークに接続するための仕組み,3,変数は、プログラム実行中に計算結果や入力された数値・文字列などのデータを一時的に記憶し、必要に応じて取り出したり上書きしたりするための「箱」のような役割を持ちます。,37 プログラミングの基本
36,データの中から目的の値を端から順番に探していくアルゴリズムはどれか。,二分探索,線形探索,バブルソート,クイックソート,2,データの端から順番に目的の値を探す最も単純な探索アルゴリズムは「線形探索」です。「二分探索」は整列済みデータの中央値と比較して探す手法、「バブルソート」や「クイックソート」はデータを並べ替える整列（ソート）のアルゴリズムです。,40 探索のプログラム
37,二分探索（バイナリサーチ）を行うための必須条件はどれか。,データが重複していないこと。,データが昇順または降順に整列されていること。,データの個数が偶数であること。,すべてのデータが正の整数であること。,2,二分探索を行うためには、あらかじめ対象のデータが昇順または降順に「整列（ソート）」されていることが必須条件です。,40 探索のプログラム
38,100個の整列されたデータから二分探索で目的の値を探すとき最大で何回の比較が必要か。,7回程度,50回程度,100回程度,1回,1,二分探索は1回の比較で探索範囲が半分になるため、100個のデータであれば 2の7乗(128) 以内、つまり最大7回程度の比較で目的の値を探し出せます。,40 探索のプログラム
39,隣り合うデータの大小を比較し必要に応じて入れ替えることで整列させるアルゴリズムはどれか。,選択ソート,挿入ソート,バブルソート,クイックソート,3,隣り合うデータを比較し、必要に応じて入れ替えを繰り返す整列アルゴリズムは「バブルソート」です。「選択ソート」は未整列から最小値を探して交換する手法、「挿入ソート」は適切な位置にデータを挿入する手法、「クイックソート」は基準値を設けてデータを分割する手法です。,41 整列のプログラム
40,未整列の要素から最小値を探し出し整列済みの末尾と入れ替える方法を何というか。,バブルソート,選択ソート,挿入ソート,線形探索,2,未整列の中から最小（最大）の値を探し出し、決まった位置の要素と交換する方法は「選択ソート」です。「バブルソート」は隣り合う要素の交換、「挿入ソート」は適切な位置への挿入、「線形探索」は探索アルゴリズムです。,41 整列のプログラム
41,複数のデータを特定の基準に従って並べ替える処理のことを一般に何というか。,サーチ（探索）,ソート（整列）,コンパイル（翻訳）,デバッグ（修正）,2,データを昇順や降順などの規則に従って並べ替える処理を「ソート（整列）」と呼びます。「サーチ（探索）」は目的の値を探す処理、「コンパイル（翻訳）」はプログラムを機械語に変換する処理、「デバッグ（修正）」はプログラムの誤りを直す処理です。,41 整列のプログラム
42,フローチャートで「ひし形」の記号が意味するものはどれか。,開始・終了,処理（演算など）,条件による分岐,繰り返し,3,フローチャートにおいて、ひし形の記号は「もし〜なら」という条件分岐（判断）を表します。処理は長方形、開始・終了は端子（角丸長方形）で表します。,43 プログラムの設計手法
43,Pythonにおいて「a = 10 % 3」を実行したとき変数aに格納される値はどれか。,3,3.333,1,30,3,Pythonの % 演算子は割り算の余りを求めます。10を3で割った商は3、余りは「1」です。,37 プログラミングの基本
44,「x = y」という記述がプログラミングにおいて意味するものはどれか。,xとyが等しいことを判定する。,yの値をxに代入する。,xの値をyに代入する。,xとyの値を入れ替える。,2,プログラミングにおける = は「等しい」ではなく、右辺の値を左辺の変数に上書きする「代入」を意味します。等しいことの判定には == を用います。,37 プログラミングの基本
45,探索アルゴリズムの効率を比較したときデータ量nが非常に大きい場合に最も高速なのはどれか。,線形探索,二分探索,バブルソート,すべて同じ,2,データ量が非常に大きい場合、比較回数がデータ数に比例する線形探索に対し、範囲を半分に絞り込む「二分探索」の方が極めて高速に処理できます。,40 探索のプログラム
46,関数を定義する際にPythonで使われるキーワードはどれか。,function,sub,def,define,3,Pythonでユーザー定義関数を作成する際には、def というキーワード（def 関数名():）を使います。,39 関数
47,「A and B」という論理演算が「真」となるのはどのようなときか。,AとBのどちらか一方が真のとき。,AとBの両方が真のとき。,AとBの両方が偽のとき。,Aが偽のとき。,2,論理積（and）は、AとBのすべての条件が「真」であるときのみ、全体の結果が「真」となります。,12 演算の仕組み
48,乱数を用いて円周率などの近似値を求めるシミュレーション手法を何というか。,モンテカルロ法,最小二乗法,移動平均法,ニュートン法,1,乱数を用いたシミュレーションによって、確率的に解や近似値を求める手法を「モンテカルロ法」といいます。「最小二乗法」や「移動平均法」はデータや回帰分析などの手法です。,29 モデル化とシミュレーション
49,2つの変数aとbの値を入れ替えるための正しい手順はどれか（zは作業用変数）。,a=b; b=a,z=a; a=b; b=z,a=z; z=b; b=a,z=b; b=z; a=b,2,変数の入れ替えには、元の値を一時的に退避させる作業用変数（z）が必要です。まず z=a で退避し、a=b で上書きし、b=z で退避した値を戻す手順が正解です。,35 整列のプログラム
50,7個のデータ「8、 15、 24、 56、 64、 77、 85」から「64」を二分探索で探すとき最初に比較される値はどれか。,8,85,56,64,3,二分探索ではまずデータ列の「中央の値」を比較します。7個の要素（添字0〜6）の中央は添字3の要素である「56」になります。,40 探索のプログラム
